,Lemma,TF-IDF
999,余り,2.6786031322919665e-05
1000,大事,1.3241009887449148e-05
1001,思い出,1.5004133083498698e-05
1002,ほら,5.46994672177308e-06
1003,近寄る,0
1004,会う,1.2381078762261e-05
1005,質,1.7088169378929278e-05
1006,届ける,0.00011232804079514818
1007,夜更かし,0
1008,懺悔,0
1009,迚も,1.1723972294033727e-05
1010,主教,0
1011,殿,0
1012,ふん,7.7353566175364e-05
1013,笑う,5.710881153777524e-06
1014,価値,0
1015,連れる,8.303979021911612e-06
1016,喜ぶ,8.792979220525297e-06
1017,釜,0
1018,貴様,9.837758762946378e-06
1019,無駄,8.792979220525297e-06
1020,攻撃,0
1021,傷付ける,1.550438318274301e-05
1022,老体,0
1023,心苦しい,0
1024,霊,0
1025,返す,7.032591284417421e-05
1026,目茶,4.899287562599878e-05
1027,逃がす,2.1216406678081454e-05
1028,ごと,0
1029,忘れる,0.0
1030,小僧,0
1031,老人,0
1032,奪う,3.64583770567424e-05
1033,引き摺る,0
1034,込む,4.01137746683933e-05
1035,使い魔,0
1036,む,1.1278328978071436e-05
1037,反抗,0
1038,嫌,3.668467781410666e-06
1039,眠る,1.89275893272562e-05
1040,風邪,0
1041,軽々,0
1042,背負う,0
1043,得る,9.340336534067957e-06
1044,暴れる,0
1045,ざわめく,0
1046,解決,0.00011212582391762434
1047,はあ,0.0001259436818323261
1048,胸元,0
1049,印,2.6030020281791054e-05
1050,精神,0
1051,安定,3.203594969074981e-05
1052,櫓,0
1053,蝋,0
1054,仕様,1.0397961258488261e-05
1055,取れる,1.8330949415453094e-05
1056,休める,0
1057,頼る,0
1058,真似,2.5831871602761615e-05
1059,体,1.2455968532867417e-05
1060,件,7.870207010357103e-05
1061,次,1.5223961540171288e-05
1062,準備,1.3344839989036758e-05
1063,整う,6.843840453358696e-05
1064,苦労,2.5558200659952255e-05
1065,カツラギ,0
1066,少佐,0
1067,手際,3.3405894181764206e-05
1068,褒める,1.89275893272562e-05
